GEOID,NAME,ENR17,UTD17,COND17,COMP17,EXMPT17,ME17,PE17,RE17,REM17
5309450,Walla Walla School District,392,359,7,13,13,4,9,1,0
5300570,Blaine School District,5,1,0,4,0,0,0,0,0
5301170,Chehalis School District,229,202,2,16,9,2,8,0,0
5305190,Morton School District,19,11,0,7,1,0,1,0,0
5306240,Onalaska School District,53,46,1,4,2,1,1,0,0
5309750,White Pass School District,28,19,0,8,1,1,0,0,0
5304290,Lamont School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5303660,Hoquiam School District,126,94,4,21,7,3,3,1,0
5306000,Oakville School District,21,20,0,1,0,0,0,0,0
5307050,Lake Quinault School District,15,11,0,3,1,0,1,0,0
5302820,Federal Way School District,1954,1630,28,216,80,7,65,7,1
5303750,Issaquah School District,1531,1445,10,8,68,10,56,2,0
5304230,Lake Washington School District,2535,2025,34,405,71,22,50,3,0
5307230,Renton School District,1349,1218,24,47,60,13,40,8,3
5301110,Central Valley School District,1041,774,22,169,79,2,73,5,0
5302280,East Valley School District (Spokane),321,270,6,10,35,7,30,0,0
5302970,Freeman School District,45,40,0,0,5,0,5,0,0
5303270,Great Northern School District,8,3,1,3,1,0,1,0,0
5302070,Deer Park School District,146,124,4,5,13,4,8,1,0
5305610,Newport School District,71,55,1,12,3,0,3,0,0
5309300,Vashon Island School District,95,70,7,7,11,3,8,0,0
5300150,Anacortes School District,211,186,9,0,16,1,15,0,0
5301980,Darrington School District,27,22,1,1,3,1,2,0,0
5306330,Orchard Prairie School District,21,9,0,7,5,1,4,0,0
5304950,Medical Lake School District,147,137,1,2,7,1,6,0,0
5305310,Mount Baker School District,139,102,8,17,12,1,9,2,0
5300003,Kelso School District,388,364,7,3,14,1,13,0,0
5304470,Longview Public Schools,509,459,9,20,21,8,13,0,0
5303600,Hood Canal School District,34,19,2,12,1,0,0,1,0
5307900,Shelton School District,306,245,9,45,7,2,4,1,0
5303240,Grapeview School District,20,13,1,6,0,0,0,0,0
5305790,North Mason School District,179,153,11,4,11,4,6,0,1
5308220,Southside School District,20,17,0,1,2,2,0,0,0
5303000,Garfield Palouse School District,6,6,0,0,0,0,0,0,0
5305160,Montesano School District,95,76,0,13,6,2,4,0,0
5301590,Columbia School District (Walla Walla),47,38,1,5,3,0,3,0,0
5301710,Cosmopolis School District,21,7,0,14,0,0,0,0,0
5307470,Rochester School District,183,166,2,10,5,0,5,0,0
5307680,Satsop School District,11,10,0,1,0,0,0,0,0
5301260,Chewelah School District,24,16,0,8,0,0,0,0,0
5305880,Northport School District,34,5,0,25,4,0,4,0,0
5301230,Cheney School District,386,294,5,66,21,0,20,0,1
5307560,Rosalia School District,10,9,0,1,0,0,0,0,0
5308580,Summit Valley School District,11,8,0,0,3,1,2,0,0
5309330,Wahkiakum School District,29,23,0,3,3,1,0,1,1
5302490,Elma School District,110,100,3,4,3,0,3,0,0
5304800,Mary M. Knight School District,7,7,0,0,0,0,0,0,0
5300280,Asotin-Anatone School District,33,30,2,0,1,1,0,0,0
5307020,Quillayute Valley School District,84,74,1,1,8,6,2,0,0
5302910,Finley School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5303930,Kennewick School District,1529,1419,11,48,51,6,44,2,0
5304020,Kiona-Benton School District,106,88,0,16,2,0,2,0,0
5306630,Paterson School District,12,12,0,0,0,0,0,0,0
5300450,Benge School District,2,1,0,0,1,0,1,0,0
5305730,North Franklin School District,92,70,1,21,0,0,0,0,0
5307380,Ritzville School District,28,24,2,1,1,1,0,0,0
5305820,North River School District,3,0,0,3,0,0,0,0,0
5306090,Ocosta School District,34,29,0,4,1,0,1,0,0
5307140,Raymond School District,37,32,0,3,2,1,1,0,0
5305520,Naselle-Grays River Valley School District,21,16,3,0,2,0,2,0,0
5308100,South Bend School District,38,34,2,2,0,0,0,0,0
5306900,Prosser School District,172,164,4,2,2,0,2,0,0
5302460,Ellensburg School District,286,233,1,42,10,0,10,0,0
5302550,Entiat School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5308430,Stehekin School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5309660,Wenatchee School District,579,544,6,2,27,2,25,0,0
