OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
462,28326,Cameron,256,2
463,28327,Carthage,207,2
464,28328,Clinton,926,16
465,28333,Dudley,392,9
466,28334,Dunn,568,4
467,28337,Elizabethtown,245,5
468,28338,Ellerbe,97,2
469,28339,Erwin,135,3
470,28340,Fairmont,408,17
471,28341,Faison,199,1
472,28343,Gibson,23,0
473,28344,Godwin,95,1
474,28345,Hamlet,247,5
475,28347,Hoffman,59,0
476,28348,Hope Mills,589,4
477,28349,Kenansville,155,12
478,28350,Lakeview,6,0
479,28351,Laurel Hill,80,0
480,28352,Laurinburg,772,9
481,28356,Linden,66,3
482,28357,Lumber Bridge,61,1
483,28358,Lumberton,1188,22
484,28360,Lumberton,456,5
485,28363,Marston,25,1
486,28364,Maxton,378,5
487,28365,Mount Olive,592,19
488,28366,Newton Grove,139,2
489,28369,Orrum,48,1
490,28371,Parkton,117,3
491,28372,Pembroke,436,4
492,28373,Pinebluff,40,1
493,28374,Pinehurst,240,8
494,28375,Proctorville,NA,NA
495,28376,Raeford,842,13
496,28377,Red Springs,443,10
497,28379,Rockingham,497,8
498,28382,Roseboro,104,0
499,28383,Rowland,222,2
500,28384,Saint Pauls,446,3
501,28385,Salemburg,43,0
502,28386,Shannon,297,6
503,28387,Southern Pines,199,2
504,28390,Spring Lake,284,6
505,28391,Stedman,65,0
506,28392,Tar Heel,53,1
507,28393,Turkey,58,1
508,28394,Vass,57,1
509,28395,Wade,37,0
510,28396,Wagram,60,2
511,28398,Warsaw,324,9
512,28399,White Oak,66,1
513,28401,Wilmington,453,8
514,28403,Wilmington,968,3
515,28405,Wilmington,579,3
516,28409,Wilmington,449,5
517,28411,Wilmington,514,5
518,28412,Wilmington,557,4
519,28420,Ash,98,1
520,28421,Atkinson,16,0
521,28422,Bolivia,94,7
522,28423,Bolton,45,1
523,28425,Burgaw,196,3
524,28428,Carolina Beach,106,0
525,28429,Castle Hayne,93,0
526,28430,Cerro Gordo,38,1
527,28431,Chadbourn,174,7
528,28432,Clarendon,51,2
529,28433,Clarkton,77,0
530,28434,Council,16,0
531,28435,Currie,29,0
532,28436,Delco,35,0
533,28438,Evergreen,29,0
534,28439,Fair Bluff,46,4
535,28441,Garland,76,2
536,28442,Hallsboro,45,1
537,28443,Hampstead,292,0
538,28444,Harrells,94,0
539,28445,Holly Ridge,88,1
540,28447,Ivanhoe,76,0
541,28448,Kelly,19,1
542,28449,Kure Beach,21,0
543,28450,Lake Waccamaw,63,5
544,28451,Leland,441,3
545,28452,Longwood,19,0
546,28453,Magnolia,276,6
547,28454,Maple Hill,20,0
548,28455,Nakina,48,2
549,28456,Riegelwood,89,1
550,28457,Rocky Point,215,2
551,28458,Rose Hill,279,6
552,28460,Sneads Ferry,139,1
553,28461,Southport,124,2
554,28462,Supply,161,5
555,28463,Tabor City,275,17
556,28464,Teachey,100,2
557,28465,Oak Island,53,0
558,28466,Wallace,332,7
559,28467,Calabash,139,3
560,28468,Sunset Beach,54,0
561,28469,Ocean Isle Beach,98,2
562,28470,Shallotte,195,2
563,28472,Whiteville,415,14
564,28478,Willard,102,0
565,28479,Winnabow,70,1
566,28480,Wrightsville Beach,85,0
567,28501,Kinston,247,5
568,28504,Kinston,382,18
569,28508,Albertson,108,2
570,28510,Arapahoe,9,0
571,28511,Atlantic,2,0
572,28512,Atlantic Beach,19,1
573,28513,Ayden,198,1
574,28515,Bayboro,139,2
575,28516,Beaufort,85,3
576,28518,Beulaville,156,2
577,28519,Bridgeton,NA,NA
578,28520,Cedar Island,NA,NA
579,28521,Chinquapin,40,2
580,28523,Cove City,32,2
581,28524,Davis,NA,NA
582,28525,Deep Run,37,0
583,28526,Dover,28,0
584,28527,Ernul,6,0
585,28528,Gloucester,0,0
586,28529,Grantsboro,49,0
587,28530,Grifton,132,1
588,28531,Harkers Island,7,0
589,28532,Havelock,170,2
590,28533,Cherry Point,NA,NA
