OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
575,28516,Beaufort,68,5
576,28518,Beulaville,227,1
577,28519,Bridgeton,NA,NA
578,28520,Cedar Island,NA,NA
579,28521,Chinquapin,73,2
580,28523,Cove City,64,3
581,28524,Davis,NA,NA
582,28525,Deep Run,11,0
583,28526,Dover,40,0
584,28527,Ernul,4,0
585,28528,Gloucester,0,0
586,28529,Grantsboro,46,0
587,28530,Grifton,172,1
588,28531,Harkers Island,13,0
589,28532,Havelock,221,2
590,28533,Cherry Point,NA,NA
591,28537,Hobucken,NA,NA
592,28538,Hookerton,99,0
593,28539,Hubert,203,1
594,28540,Jacksonville,245,6
595,28542,Camp Lejeune,26,0
596,28543,Tarawa Terrace,65,2
597,28544,Midway Park,42,4
598,28545,Mccutcheon Field,1,0
599,28546,Jacksonville,775,0
600,28547,Camp Lejeune,263,0
601,28551,La Grange,541,7
602,28552,Lowland,NA,NA
603,28553,Marshallberg,4,0
604,28555,Maysville,45,0
605,28556,Merritt,2,0
606,28557,Morehead City,97,0
607,28560,New Bern,640,9
608,28561,New Bern,NA,NA
609,28562,New Bern,509,19
610,28570,Newport,319,0
611,28571,Oriental,20,0
612,28572,Pink Hill,176,0
613,28573,Pollocksville,47,1
614,28574,Richlands,228,6
615,28577,Sealevel,8,0
616,28578,Seven Springs,205,6
617,28579,Smyrna,1,0
618,28580,Snow Hill,447,3
619,28581,Stacy,NA,NA
620,28582,Stella,8,0
621,28583,Stonewall,NA,NA
622,28584,Swansboro,66,0
623,28585,Trenton,78,1
624,28586,Vanceboro,74,1
625,28587,Vandemere,NA,NA
626,28590,Winterville,509,1
627,28594,Emerald Isle,31,0
628,28601,Hickory,278,10
629,28602,Hickory,521,2
630,28604,Banner Elk,74,0
631,28605,Blowing Rock,49,0
632,28606,Boomer,47,0
633,28607,Boone,768,1
634,28609,Catawba,151,0
635,28610,Claremont,34,0
636,28611,Collettsville,31,0
637,28612,Connelly Springs,414,7
638,28613,Conover,440,2
639,28615,Creston,36,0
640,28617,Crumpler,58,0
641,28618,Deep Gap,41,0
642,28621,Elkin,168,9
643,28622,Elk Park,47,0
644,28623,Ennice,38,0
645,28624,Ferguson,54,1
646,28625,Statesville,782,19
647,28626,Fleetwood,10,0
648,28627,Glade Valley,3,0
649,28629,Glendale Springs,NA,NA
650,28630,Granite Falls,70,13
651,28631,Grassy Creek,26,0
652,28634,Harmony,41,0
653,28635,Hays,38,0
654,28636,Hiddenite,113,3
655,28637,Hildebran,23,0
656,28638,Hudson,6,0
657,28640,Jefferson,27,0
658,28642,Jonesville,68,1
659,28643,Lansing,22,0
660,28644,Laurel Springs,10,0
661,28645,Lenoir,1178,5
662,28646,Linville,25,0
663,28649,Mc Grady,16,0
664,28650,Maiden,312,0
665,28651,Millers Creek,4,1
666,28654,Moravian Falls,33,1
667,28655,Morganton,702,15
668,28657,Newland,64,0
669,28658,Newton,458,3
670,28659,North Wilkesboro,625,2
671,28660,Olin,27,0
672,28663,Piney Creek,2,0
