ZIPCODEmap,POP,CASES,DEATHS,CASERATE,DEATHRATE
27574,15232,149,0,9.782037815126051,0
27576,20197,602,8,29.80640689211269,0.3960984304599693
27577,25214,702,6,27.841675259776316,0.23796303640834457
27581,3956,51,0,12.891809908998988,0
27583,7012,89,0,12.692527096406161,0
27587,74087,922,31,12.444828377448136,0.4184269844912063
27589,8312,144,4,17.324350336862366,0.48123195380173245
27591,23448,444,4,18.93551688843398,0.17059024223814398
27592,17368,252,1,14.509442653155228,0.05757715338553662
27596,18655,222,1,11.900294827124096,0.05360493165371214
27597,25494,427,5,16.749038989566174,0.19612457833215657
27599,0,0,0,NA,NA
27601,12139,159,2,13.098278276629047,0.16475821731608864
27603,55479,1010,5,18.20508660934768,0.09012419113538456
27604,47645,1176,20,24.68254801133382,0.419771224682548
27605,5253,100,3,19.036740909956215,0.5711022272986864
27606,47938,811,2,16.917685343568778,0.041720555717802164
27607,30296,609,3,20.10166358595194,0.09902297332981251
27608,11603,158,1,13.61716797379988,0.08618460742911316
27609,38631,688,9,17.80953120550853,0.2329735186767104
27610,74203,2373,42,31.979839090063745,0.5660148511515707
27612,39208,515,6,13.13507447459702,0.15302999387880026
27613,46521,495,6,10.640355968272393,0.12897401173663506
27614,37689,384,6,10.188649207991721,0.15919764387487065
27615,46038,630,19,13.684347712759026,0.4127025500673357
27616,55260,1143,6,20.684039087947884,0.10857763300760044
27617,19511,226,1,11.583209471580135,0.051253139254779354
27701,26499,655,6,24.717913883542774,0.22642363862787274
27703,61351,1610,9,26.242441036005932,0.1466968753565549
27704,39369,1523,18,38.68525997612335,0.45721252762325687
27705,48078,1260,41,26.20741295394983,0.8527808977078913
27707,47036,1117,5,23.747767667318648,0.10630155625478357
27708,4635,6,0,1.2944983818770226,0
27709,4,0,0,0,0
27710,0,0,0,NA,NA
27712,22055,401,21,18.181818181818183,0.952165041940603
27713,54058,783,4,14.484442635687595,0.07399459839431721
27801,21556,476,13,22.082018927444796,0.6030803488587864
27803,22337,405,7,18.131351569145366,0.31338138514572234
27804,29160,694,19,23.799725651577504,0.6515775034293553
27805,3769,84,0,22.287078800742904,0
27806,2441,19,0,7.783695206882426,0
27807,6940,224,3,32.27665706051873,0.4322766570605187
27808,2481,35,1,14.107214832728738,0.4030632809351068
27809,5254,125,2,23.79139703083365,0.3806623524933384
27810,4224,44,0,10.416666666666666,0
27812,2951,54,0,18.298881735005082,0
27814,1801,19,0,10.549694614103275,0
27816,2634,53,0,20.121488230827637,0
