ZIPCODE,POP,CASES,DEATHS
28210,44704,1352,18
28211,31253,637,26
28212,42744,1775,21
28213,45338,1541,17
28214,41208,1124,6
28215,60256,2111,19
28216,58744,1432,15
28217,30875,1480,6
28223,2941,3,0
28226,40227,747,11
28227,57319,1597,16
28253,0,NA,NA
28262,43683,981,13
28269,81464,1697,19
28270,34753,419,5
28273,40544,1281,18
28277,72020,972,9
28278,32539,587,2
28301,17717,457,27
28303,34600,377,3
28304,39651,614,11
28305,5010,84,2
28306,42565,639,5
28307,15486,103,0
28308,737,0,0
28310,8861,217,0
28311,36046,565,3
28312,18419,276,3
28314,53642,840,9
28315,13329,249,3
28318,4579,47,1
28320,9381,115,1
28323,4578,61,0
28326,22382,256,2
28327,18273,207,2
28328,26951,926,16
28333,10709,392,9
28334,26215,568,4
28337,11927,245,5
28338,4804,97,2
28339,7226,135,3
28340,10738,408,17
28341,5080,199,1
28343,1567,23,0
28344,3814,95,1
28345,12656,247,5
28347,1826,59,0
28348,36052,589,4
28349,3955,155,12
28350,70,6,0
28351,5269,80,0
28352,25298,772,9
28356,4914,66,3
28357,3224,61,1
28358,38517,1188,22
28360,14944,456,5
28363,1079,25,1
28364,15170,378,5
28365,17063,592,19
28366,5153,139,2
28369,2241,48,1
28371,7085,117,3
28372,15254,436,4
28373,2552,40,1
28374,18171,240,8
28375,155,NA,NA
28376,43831,842,13
28377,13036,443,10
28379,25804,497,8
28382,8006,104,0
28383,7713,222,2
28384,12414,446,3
28385,3005,43,0
28386,6068,297,6
28387,17139,199,2
28390,23494,284,6
28391,5326,65,0
28392,1554,53,1
28393,2160,58,1
28394,6094,57,1
28395,2657,37,0
28396,2679,60,2
28398,7672,324,9
28399,1934,66,1
28401,24213,453,8
28403,41945,968,3
28405,33719,579,3
28409,34974,449,5
28411,38820,514,5
28412,42977,557,4
28420,5116,98,1
28421,2040,16,0
28422,8682,94,7
28423,2285,45,1
28425,12625,196,3
28428,7142,106,0
28429,8542,93,0
28430,2055,38,1
28431,6741,174,7
28432,1684,51,2
28433,5297,77,0
28434,1357,16,0
28435,2931,29,0
28436,2312,35,0
28438,1688,29,0
28439,1536,46,4
28441,3328,76,2
28442,1734,45,1
28443,22483,292,0
28444,2278,94,0
28445,8142,88,1
28447,1334,76,0
28448,1216,19,1
28449,1958,21,0
28450,2397,63,5
28451,39194,441,3
28452,513,19,0
28453,4137,276,6
28454,3549,20,0
28455,1718,48,2
28456,3566,89,1
28457,12840,215,2
28458,7018,279,6
28460,10588,139,1
28461,20575,124,2
28462,14309,161,5
28463,9865,275,17
28464,2491,100,2
28465,8285,53,0
28466,10375,332,7
28467,11393,139,3
28468,5394,54,0
28469,7481,98,2
